Compound	Negative	Neutral	Positive	Timestamp	Locations	Uuid
0.4019	0.0	0.526	0.474	1561391573734	Belbroughton	3f600fb7-1880-403d-9b89-f71dbae8813c
-0.6249	0.339	0.661	0.0	1561391588687	Cheadle	0b3bce0a-c055-40b8-ac2b-945a7c81c834
0.0	0.0	1.0	0.0	1561391636395	Bilbao	78c685bc-4196-4216-a63d-466c34babfc1
0.0	0.0	1.0	0.0	1561391714943	Brighton	03477a6b-3501-4f8d-9200-da35c2484b61
-0.3182	0.365	0.635	0.0	1561391716089	Goole	a22063ab-092e-41bd-b71a-1bc20888289e
-0.1191	0.173	0.712	0.115	1561391717743	Ayr	61020ccc-ec2a-4c22-a4e2-ea9ffa07565c
0.4404	0.0	0.791	0.209	1561391733950	Inverness	5c2fb5e4-7949-492a-a35d-945c2a2dc137
0.1531	0.139	0.652	0.209	1561391889518	Bishop's Cleeve	a6f34da6-5948-4527-9c77-123aa4d707d1
0.0382	0.0	0.948	0.052	1561391905535	Albufeira	f2443e34-0a2c-45d3-af9d-bacb6c8a098e
0.0	0.0	1.0	0.0	1561391909852	Camberwell	fe07c079-cc3c-4db5-9046-a04851e0106c
0.4404	0.075	0.717	0.208	1561391941386	Westbury	863c889d-affd-44ab-8447-a18243449fd4
0.0618	0.205	0.621	0.174	1561392050285	Camberwell	206af3ac-ec6a-4c81-8f15-6f96b8e345e6
0.1815	0.139	0.66	0.201	1561392086625	Barnsley	5b496b4e-e3fa-4531-9ee4-d768decdf1ec
0.5815	0.0	0.65	0.35	1561392102761	Irvine	664146b5-ec8f-4025-a1ae-6f1ebb13851b
-0.039	0.138	0.733	0.129	1561392149848	Wandsworth	1e5507ac-f27f-493d-9bf5-d5bfabbc5da7
0.0	0.0	1.0	0.0	1561392172671	Wales	9cc4ec52-8a1e-4ccd-97a5-79061d3dae0c
0.0	0.0	1.0	0.0	1561392249994	Birmingham	8101a8be-cde0-42eb-be77-55e3a1fbaf74
-0.765	0.258	0.742	0.0	1561392288926	San Francisco	193afe6b-1c1a-4791-bf9c-c7304bdb3d3b
0.6238	0.0	0.797	0.203	1561392315997	West Midlands	25d1fc4c-e14a-4f11-97ca-3b24b8496b4d
-0.3612	0.122	0.878	0.0	1561392378199	Stoke-on-Trent	3ef0ffc5-51e4-4409-a3a2-17f2ad192d9e
0.296	0.0	0.901	0.099	1561392393008	Leeds	230d9d06-ea39-4d18-b86e-08b6c1031573
0.0	0.0	1.0	0.0	1561392532024	Portree	883cc4a8-9ca9-44ad-afb5-74077dc0ff00
0.9136	0.0	0.506	0.494	1561392550424	Sutton	8ed139f1-7b2c-495f-94bc-3203b8dfb373
0.3182	0.0	0.867	0.133	1561392563299	Wil (SG)	a5d95520-c4ce-41e9-b014-ba3b8dd573ce
0.2732	0.0	0.323	0.677	1561392566856	York	dde3a2ec-be65-4035-b8b1-a6782556d657
-0.5384	0.258	0.561	0.181	1561392568931	Westbury	50c7d79c-5958-4eab-a57b-9cd2866564fc
0.0	0.0	1.0	0.0	1561392575994	Akron	695aca3c-197d-4b34-959c-67578486444f
-0.2677	0.187	0.813	0.0	1561392594227	Eastwood	6d5b9dd5-d556-4527-8c41-6833ad2850a4
-0.1027	0.076	0.924	0.0	1561392595483	Brighton	7f4113d2-7552-4385-9ab6-4f0958998e9d
0.0	0.0	1.0	0.0	1561392663621	Wolverhampton	b2a336ca-fb0e-4464-b751-a2202f1e03e7
-0.4867	0.197	0.803	0.0	1561392665035	Broxbourne	bc8ae0b9-6399-461c-baaf-393318949f6c
0.0	0.0	1.0	0.0	1561392680872	Tías	ba11c8da-a447-49e8-9bd3-7353fa9ad3f0
0.7264	0.0	0.757	0.243	1561392686461	Leeds	37d9c073-a516-4bb9-8106-c976c3182a9e
0.0	0.0	1.0	0.0	1561392744578	Maidstone	bd472c51-f729-42a2-ac74-b1637ba96c24
0.204	0.09	0.755	0.155	1561392770868	Yorkshire and The Humber	70322431-8624-44bb-be55-80398bc4d72f
0.0	0.0	1.0	0.0	1561392812742	Fareham	afda5a28-5dc3-47fc-910c-9f5d70325ccc
0.8519	0.0	0.546	0.454	1561392841259	Inverness	2a774c90-3096-43ae-98b1-7bd10569f4fe
-0.4939	0.516	0.484	0.0	1561392843545	Livingston	9ec5475c-cfa7-40a1-8997-df74e7556d3f
-0.5106	0.142	0.858	0.0	1561392971312	Inverness	b588340b-bda0-4c51-a46f-a7515431f337
0.0	0.0	1.0	0.0	1561392993635	Berne	ed1aea86-d377-4fcd-a54f-27cbb93dee50
0.3818	0.0	0.867	0.133	1561393001767	Guildford	e8e58828-846e-44e4-87e0-6f46e3f66d85
0.3818	0.0	0.852	0.148	1561393015229	Seaforth	32f18c38-45b0-44cd-b0be-aa166519d052
-0.3818	0.282	0.602	0.116	1561393024892	Mascouche	5a065a8c-0ef5-486b-ac0c-6bba5899d33f
0.4588	0.0	0.636	0.364	1561393080269	Pardaillan	882e99c3-3218-4cd8-bccc-0e5c18b7d909
0.0333	0.09	0.773	0.136	1561393162309	Dawlish Warren	5410b392-97ec-4f48-8a84-a3614fba750e
0.3612	0.0	0.889	0.111	1561393177208	Seaforth	50b1bfc2-05bd-4e23-b70b-d634f2199a93
0.4754	0.0	0.393	0.607	1561393208162	Malta	dd88f8a2-8041-407d-b650-983e84d7b2f7
-0.5106	0.125	0.875	0.0	1561393233979	Christchurch	a108ed99-8623-4900-bfb8-62fb0d88be78
-0.9001	0.466	0.436	0.097	1561393275489	Birmingham	c821c744-4f19-44b5-9e41-94d3bc1eb11e
-0.5574	0.167	0.833	0.0	1561393279470	La Iruela	44d640d5-c737-47a0-a5b4-48d467033247
